Date,Close
3/19/2018,128.52
3/20/2018,128.12
3/21/2018,124.81
3/22/2018,125.51
3/23/2018,124.4
3/26/2018,124.22
3/27/2018,126.38
3/28/2018,130.31
3/29/2018,133.11
4/2/2018,128.69
4/3/2018,128.34
4/4/2018,130.05
4/5/2018,130.25
4/6/2018,128.51
4/9/2018,127.97
4/10/2018,126.99
4/11/2018,126.39
4/12/2018,124.67
4/13/2018,125.53
4/16/2018,127.17
4/17/2018,126.84
4/18/2018,126.72
4/19/2018,119.16
4/20/2018,114.88
4/23/2018,114.8
4/24/2018,114.96
4/25/2018,116.42
4/26/2018,116.15
4/27/2018,118.31
4/30/2018,117.2
5/1/2018,116.82
5/2/2018,116
5/3/2018,118.49
5/4/2018,120.29
5/7/2018,120.83
5/8/2018,118.71
5/9/2018,120.33
5/10/2018,120.31
5/11/2018,120.54
5/14/2018,119.04
5/15/2018,117.4
5/16/2018,118.38
5/17/2018,118.33
5/18/2018,117.33
5/21/2018,119.01
5/22/2018,119.56
5/23/2018,119.44
5/24/2018,119.69
5/25/2018,122.58
5/29/2018,124.14
5/30/2018,126.09
5/31/2018,120.83
6/1/2018,120.44
6/4/2018,121.23
6/5/2018,121.4
6/6/2018,121.93
6/7/2018,124.55
6/8/2018,126.75
6/11/2018,127.92
6/12/2018,127.61
6/13/2018,126.99
6/14/2018,127.89
6/15/2018,128.85
6/18/2018,126.93
6/19/2018,127.56
6/20/2018,126.81
6/21/2018,126.95
6/22/2018,128.91
6/25/2018,132.41
6/26/2018,131.17
6/27/2018,130.63
6/28/2018,133.86
6/29/2018,135.25
7/2/2018,133.52
7/3/2018,132.83
7/5/2018,134.99
7/6/2018,135.44
7/9/2018,131.9
7/10/2018,132.48
7/11/2018,133.28
7/12/2018,133.45
7/13/2018,134.46
7/16/2018,134.2
7/17/2018,135.02
7/18/2018,129.53
7/19/2018,130.34
7/20/2018,131.8
7/23/2018,130.69
7/24/2018,129.63
7/25/2018,130.31
7/26/2018,131.76
7/27/2018,132.72
7/30/2018,134.62
7/31/2018,135.17
8/1/2018,134.16
8/2/2018,142.44
8/3/2018,143.08
8/6/2018,143.52
8/7/2018,141.48
8/8/2018,140.86
8/9/2018,140.21
8/10/2018,140.21
8/13/2018,141.22
8/14/2018,141.84
8/15/2018,144.97
8/16/2018,146.77
8/17/2018,147.53
8/20/2018,148.23
8/21/2018,146.55
8/22/2018,145.16
8/23/2018,145.88
8/24/2018,145.67
8/27/2018,144.68
8/28/2018,144.73
8/29/2018,144.78
8/30/2018,145
8/31/2018,144.98
9/4/2018,146.12
9/5/2018,148.46
9/6/2018,149.72
9/7/2018,150.74
9/10/2018,150.56
9/11/2018,150.16
9/12/2018,150.84
9/13/2018,151.21
9/14/2018,151.38
9/17/2018,151.93
9/18/2018,151.85
9/19/2018,150.66
9/20/2018,151.88
9/21/2018,152.47
9/24/2018,149.95
9/25/2018,149.64
9/26/2018,150.37
9/27/2018,149.28
9/28/2018,150.41
10/1/2018,150.43
10/2/2018,152.26
10/3/2018,147.21
10/4/2018,146.58
10/5/2018,149.58
10/8/2018,149.88
10/9/2018,150.3
10/10/2018,147.55
10/11/2018,142.18
10/12/2018,144.84
10/15/2018,146.61
10/16/2018,148.69
10/17/2018,149.43
10/18/2018,149
10/19/2018,152.57
10/22/2018,150.85
10/23/2018,150.13
10/24/2018,152.96
10/25/2018,151.59
10/26/2018,147.82
10/29/2018,149.76
10/30/2018,152.82
10/31/2018,148.45
11/1/2018,153.73
11/2/2018,154.2
11/5/2018,156.96
11/6/2018,158.1
11/7/2018,158.67
11/8/2018,157.74
11/9/2018,158.77
11/12/2018,161.07
11/13/2018,159.86
11/14/2018,160.18
11/15/2018,160.71
11/16/2018,162.02
11/19/2018,162.39
11/20/2018,160.41
11/21/2018,159.71
11/23/2018,162.83
11/26/2018,163.33
11/27/2018,166.36
11/28/2018,165.42
11/29/2018,166.05
11/30/2018,165.62
12/3/2018,165.29
12/4/2018,163.63
12/6/2018,163.76
12/7/2018,162.47
12/10/2018,162.2
12/11/2018,166.13
12/12/2018,163.84
12/13/2018,165.08
12/14/2018,164.52
12/17/2018,156.74
12/18/2018,155.5
12/19/2018,154.85
12/20/2018,153.56
12/21/2018,154.51
12/24/2018,145.37
12/26/2018,150.83
12/27/2018,153.18
12/28/2018,153.12
12/31/2018,154.14
1/2/2019,151.13
1/3/2019,152.03
1/4/2019,153.06
1/7/2019,154.88
1/8/2019,151.14
1/9/2019,150.94
1/10/2019,153.11
1/11/2019,153.35
1/14/2019,151.18
1/15/2019,152.62
1/16/2019,151.9
1/17/2019,151.98
1/18/2019,154.37
1/22/2019,151.18
1/23/2019,151.7
1/24/2019,149.17
1/25/2019,147.69
1/28/2019,146.74
1/29/2019,145.97
1/30/2019,145.65
1/31/2019,148.38
2/1/2019,149.86
2/4/2019,158.38
2/5/2019,152.76
2/6/2019,153.83
2/7/2019,153.19
2/8/2019,155.66
2/11/2019,155.49
2/12/2019,154.9
2/13/2019,156.31
2/14/2019,156.35
2/15/2019,156.28
2/19/2019,156.01
2/20/2019,155.28
2/21/2019,158.94
2/22/2019,159.58
2/25/2019,157.6
2/26/2019,158.03
2/27/2019,156.8
2/28/2019,158.03
3/1/2019,157.8
3/4/2019,157.97
3/5/2019,156.76
3/6/2019,156.84
3/7/2019,157.11
3/8/2019,157.83
3/11/2019,159.07
3/12/2019,159.19
3/13/2019,160.13
3/14/2019,159.83
3/15/2019,160.67
